NAME: INS03
TYPE: REAL
DIMENSION: 100 15
RIDGES: 20
DEPOTS: 2
CROPS: 2530
TASKS: 506

NODE_COORD_SECTION
1	33.33	0.00	0.0	0
2	66.67	0.00	0.0	0
3	0.38	0.38	0.33	1
4	1.14	0.38	0.42	1
5	2.00	0.38	0.42	1
6	2.77	0.38	0.78	1
7	3.51	0.38	0.47	1
8	4.33	0.38	0.65	1
9	5.14	0.38	0.65	1
10	5.93	0.38	0.36	1
11	6.69	0.38	0.54	1
12	7.46	0.38	0.74	1
13	8.32	0.38	0.49	1
14	9.07	0.38	0.77	1
15	9.83	0.38	0.33	1
16	10.61	0.38	0.24	1
17	11.44	0.38	0.73	1
18	12.18	0.38	0.71	1
19	12.96	0.38	0.8	1
20	13.78	0.38	0.61	1
21	14.55	0.38	0.76	1
22	15.37	0.38	0.7	1
23	16.10	0.38	0.71	1
24	16.94	0.38	0.54	1
25	17.69	0.38	0.43	1
26	18.45	0.38	0.76	1
27	19.25	0.38	0.46	1
28	20.12	0.38	0.52	1
29	20.90	0.38	0.47	1
30	21.63	0.38	0.54	1
31	22.47	0.38	0.48	1
32	23.24	0.38	0.23	1
33	24.06	0.38	0.73	1
34	24.79	0.38	0.47	1
35	25.61	0.38	0.55	1
36	26.33	0.38	0.28	1
37	27.15	0.38	0.2	1
38	28.00	0.38	0.35	1
39	28.74	0.38	0.62	1
40	29.51	0.38	0.26	1
41	30.28	0.38	0.75	1
42	31.12	0.38	0.33	1
43	31.90	0.38	0.32	1
44	32.66	0.38	0.31	1
45	33.51	0.38	0.21	1
46	34.20	0.38	0.66	1
47	35.02	0.38	0.73	1
48	35.87	0.38	0.57	1
49	36.60	0.38	0.31	1
50	37.38	0.38	0.37	1
51	38.19	0.38	0.49	1
52	39.01	0.38	0.77	1
53	39.72	0.38	0.35	1
54	40.60	0.38	0.64	1
55	41.37	0.38	0.46	1
56	42.09	0.38	0.38	1
57	42.93	0.38	0.47	1
58	43.69	0.38	0.24	1
59	44.48	0.38	0.68	1
60	45.30	0.38	0.35	1
61	46.11	0.38	0.64	1
62	46.81	0.38	0.24	1
63	47.63	0.38	0.77	1
64	48.42	0.38	0.32	1
65	49.20	0.38	0.73	1
66	49.99	0.38	0.69	1
67	50.74	0.38	0.78	1
68	51.59	0.38	0.49	1
69	52.36	0.38	0.64	1
70	53.12	0.38	0.42	1
71	53.97	0.38	0.31	1
72	54.75	0.38	0.47	1
73	55.51	0.38	0.3	1
74	56.28	0.38	0.79	1
75	57.10	0.38	0.26	1
76	57.85	0.38	0.55	1
77	58.64	0.38	0.58	1
78	59.47	0.38	0.52	1
79	60.19	0.38	0.6	1
80	60.98	0.38	0.27	1
81	61.76	0.38	0.53	1
82	62.56	0.38	0.37	1
83	63.34	0.38	0.76	1
84	64.22	0.38	0.66	1
85	64.94	0.38	0.78	1
86	65.71	0.38	0.22	1
87	66.51	0.38	0.37	1
88	67.37	0.38	0.32	1
